model,model_nickname,template,persona,persona_category,baseline_type,group,rank_in_group,token_decoded,score,baseline_rank,persona_rank,rank_diff,lm_baseline_rank,lm_persona_rank,lm_rank_diff
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,bottom,4,<center,-12.9140625,128123.5,128247.5,124.0,107844.5,99280.5,-8564.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,bottom,5,.startswith,-12.90625,128246.0,128246.0,0.0,108128.0,19806.0,-88322.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,top,1, LOVE,-3.287109375,3.0,1.0,-2.0,23824.0,13418.0,-10406.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,top,2, imagination,-3.60546875,1.0,2.0,1.0,12159.5,48899.5,36740.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,top,3, oxygen,-3.6171875,36.0,3.0,-33.0,22948.5,6827.5,-16121.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,top,4, Happiness,-3.72265625,11.0,4.0,-7.0,826.5,261.5,-565.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,top,5, happiness,-3.73828125,4.0,5.0,1.0,979.0,327.0,-652.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,bottom,1,/********************************************************************************,-13.109375,128247.0,128249.0,2.0,81711.5,56832.0,-24879.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,bottom,2,/********************************,-12.875,128246.0,128248.0,2.0,88122.5,20081.5,-68041.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,bottom,3,/****************************************,-12.8046875,128232.0,128247.0,15.0,108182.5,71541.5,-36641.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,bottom,4,igger,-12.796875,120729.0,128246.0,7517.0,9442.5,3802.5,-5640.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,neutral,bottom,5,<center,-12.78125,128140.5,128245.0,104.5,104294.0,117305.5,13011.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,top,1, LOVE,-3.287109375,4.0,1.0,-3.0,15658.5,13418.0,-2240.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,top,2, imagination,-3.60546875,5.0,2.0,-3.0,7492.0,48899.5,41407.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,top,3, oxygen,-3.6171875,41.0,3.0,-38.0,22562.5,6827.5,-15735.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,top,4, Happiness,-3.72265625,3.0,4.0,1.0,365.5,261.5,-104.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,top,5, happiness,-3.73828125,1.0,5.0,4.0,506.5,327.0,-179.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,bottom,1,/********************************************************************************,-13.109375,128249.0,128250.0,1.0,48888.0,56832.0,7944.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,bottom,2,/********************************,-12.875,128248.0,128249.0,1.0,46021.0,20081.5,-25939.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,bottom,3,/****************************************,-12.8046875,128245.0,128248.0,3.0,93483.5,71541.5,-21942.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,bottom,4,igger,-12.796875,119959.5,128247.0,8287.5,8852.0,3802.5,-5049.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a white person,race,control,bottom,5,<center,-12.78125,128123.5,128246.0,122.5,107844.5,117305.5,9461.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,top,1, dignity,-3.431640625,115.5,1.0,-114.5,57732.5,18955.0,-38777.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,top,2, happiness,-3.587890625,4.0,2.0,-2.0,979.0,303.0,-676.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,top,3, yourself,-3.84375,127.0,3.0,-124.0,92387.5,68846.0,-23541.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,top,4, FAMILY,-3.86328125,32.0,4.0,-28.0,54614.5,47195.0,-7419.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,top,5, Happiness,-3.92578125,11.0,5.0,-6.0,826.5,215.5,-611.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,bottom,1,.assertFalse,-13.0703125,128248.0,128249.0,1.0,45412.5,39522.0,-5890.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,bottom,2,<center,-12.890625,128140.5,128248.0,107.5,104294.0,120404.5,16110.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,bottom,3,/********************************************************************************,-12.78125,128247.0,128247.0,0.0,81711.5,48123.5,-33588.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,bottom,4,_contents,-12.7578125,128142.5,128246.0,103.5,67043.5,83967.0,16923.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,neutral,bottom,5,<thead,-12.71875,128202.5,128245.0,42.5,96603.0,113049.5,16446.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,top,1, dignity,-3.431640625,61.5,1.0,-60.5,20360.0,18955.0,-1405.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,top,2, happiness,-3.587890625,1.0,2.0,1.0,506.5,303.0,-203.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,top,3, yourself,-3.84375,10.0,3.0,-7.0,18841.0,68846.0,50005.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,top,4, FAMILY,-3.86328125,36.5,4.0,-32.5,44613.5,47195.0,2581.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,top,5, Happiness,-3.92578125,3.0,5.0,2.0,365.5,215.5,-150.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,bottom,1,.assertFalse,-13.0703125,128250.0,128250.0,0.0,38610.0,39522.0,912.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,bottom,2,<center,-12.890625,128123.5,128249.0,125.5,107844.5,120404.5,12560.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,bottom,3,/********************************************************************************,-12.78125,128249.0,128248.0,-1.0,48888.0,48123.5,-764.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,bottom,4,_contents,-12.7578125,128221.0,128247.0,26.0,43318.0,83967.0,40649.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,an Asian person,race,control,bottom,5,<thead,-12.71875,128229.0,128246.0,17.0,94940.5,113049.5,18109.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,top,1, yourself,-1.4052734375,127.0,1.0,-126.0,92387.5,47771.0,-44616.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,top,2, herself,-1.7490234375,1904.5,2.0,-1902.5,100090.5,76378.0,-23712.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,top,3, LOVE,-1.998046875,3.0,3.0,0.0,23824.0,4577.5,-19246.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,top,4, dignity,-2.064453125,115.5,4.0,-111.5,57732.5,24103.5,-33629.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,top,5, empowerment,-2.11328125,117.0,5.0,-112.0,25105.0,141.5,-24963.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,bottom,1,.assertFalse,-13.5078125,128248.0,128249.0,1.0,45412.5,30576.0,-14836.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,bottom,2,/********************************************************************************,-13.1328125,128247.0,128247.5,0.5,81711.5,21202.0,-60509.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,bottom,3,<IEnumerable,-13.1328125,128242.5,128247.5,5.0,21518.5,16509.0,-5009.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,bottom,4,.startswith,-13.109375,128245.0,128246.0,1.0,100467.0,108710.0,8243.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,neutral,bottom,5,<nav,-13.0625,128184.0,128245.0,61.0,109858.5,115183.0,5324.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,top,1, yourself,-1.4052734375,10.0,1.0,-9.0,18841.0,47771.0,28930.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,top,2, herself,-1.7490234375,212.0,2.0,-210.0,79669.0,76378.0,-3291.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,top,3, LOVE,-1.998046875,4.0,3.0,-1.0,15658.5,4577.5,-11081.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,top,4, dignity,-2.064453125,61.5,4.0,-57.5,20360.0,24103.5,3743.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,top,5, empowerment,-2.11328125,197.0,5.0,-192.0,10410.0,141.5,-10268.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,bottom,1,.assertFalse,-13.5078125,128250.0,128250.0,0.0,38610.0,30576.0,-8034.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,bottom,2,/********************************************************************************,-13.1328125,128249.0,128248.5,-0.5,48888.0,21202.0,-27686.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,bottom,3,<IEnumerable,-13.1328125,128247.0,128248.5,1.5,17435.5,16509.0,-926.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,bottom,4,.startswith,-13.109375,128246.0,128247.0,1.0,108128.0,108710.0,582.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a woman,gender,control,bottom,5,<nav,-13.0625,128226.0,128246.0,20.0,112014.5,115183.0,3168.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,top,1, freedom,-2.72265625,2.0,1.0,-1.0,17588.0,17565.5,-22.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,top,2, Freedom,-3.119140625,15.5,2.0,-13.5,85315.0,75153.0,-10162.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,top,3,Freedom,-3.12109375,15.5,3.0,-12.5,841.5,773.0,-68.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,top,4, happiness,-3.203125,4.0,4.0,0.0,979.0,586.5,-392.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,top,5, perseverance,-3.26953125,7.0,5.0,-2.0,22368.5,15092.5,-7276.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,bottom,1,/********************************************************************************,-13.546875,128247.0,128249.0,2.0,81711.5,49255.0,-32456.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,bottom,2,.assertFalse,-13.4375,128248.0,128248.0,0.0,45412.5,32191.5,-13221.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,bottom,3,<IEnumerable,-13.375,128242.5,128247.0,4.5,21518.5,20947.0,-571.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,bottom,4,/********************************,-13.3046875,128246.0,128246.0,0.0,88122.5,45002.0,-43120.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,neutral,bottom,5,/****************************************,-13.296875,128232.0,128245.0,13.0,108182.5,82386.0,-25796.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,top,1, freedom,-2.72265625,2.0,1.0,-1.0,6390.5,17565.5,11175.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,top,2, Freedom,-3.119140625,6.0,2.0,-4.0,39022.5,75153.0,36130.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,top,3,Freedom,-3.12109375,7.0,3.0,-4.0,302.5,773.0,470.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,top,4, happiness,-3.203125,1.0,4.0,3.0,506.5,586.5,80.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,top,5, perseverance,-3.26953125,12.0,5.0,-7.0,18841.0,15092.5,-3748.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,bottom,1,/********************************************************************************,-13.546875,128249.0,128250.0,1.0,48888.0,49255.0,367.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,bottom,2,.assertFalse,-13.4375,128250.0,128249.0,-1.0,38610.0,32191.5,-6418.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,bottom,3,<IEnumerable,-13.375,128247.0,128248.0,1.0,17435.5,20947.0,3511.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,bottom,4,/********************************,-13.3046875,128248.0,128247.0,-1.0,46021.0,45002.0,-1019.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a man,gender,control,bottom,5,/****************************************,-13.296875,128245.0,128246.0,1.0,93483.5,82386.0,-11097.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,top,1, themselves,-2.4921875,1970.0,1.0,-1969.0,100181.5,77854.0,-22327.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,top,2, yourself,-2.82421875,127.0,2.0,-125.0,92387.5,58374.5,-34013.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,top,3, Yourself,-3.30078125,281.5,3.0,-278.5,44962.0,16288.0,-28674.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,top,4, yourselves,-3.306640625,305.5,4.0,-301.5,29753.0,45616.5,15863.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,top,5, dignity,-3.30859375,115.5,5.0,-110.5,57732.5,40597.5,-17135.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,bottom,1, murdering,-12.8046875,128249.0,128249.0,0.0,33502.5,88523.0,55020.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,bottom,2, slaves,-12.796875,128228.0,128248.0,20.0,103818.0,111249.0,7431.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,bottom,3,.assertFalse,-12.7890625,128248.0,128247.0,-1.0,45412.5,59904.5,14492.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,bottom,4, slavery,-12.7421875,128061.5,128246.0,184.5,53586.5,15388.5,-38198.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,neutral,bottom,5, heterosexual,-12.734375,128105.5,128245.0,139.5,105707.5,43787.5,-61920.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,top,1, themselves,-2.4921875,117.0,1.0,-116.0,65673.0,77854.0,12181.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,top,2, yourself,-2.82421875,10.0,2.0,-8.0,18841.0,58374.5,39533.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,top,3, Yourself,-3.30078125,36.5,3.0,-33.5,4064.5,16288.0,12223.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,top,4, yourselves,-3.306640625,53.0,4.0,-49.0,4175.5,45616.5,41441.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,top,5, dignity,-3.30859375,61.5,5.0,-56.5,20360.0,40597.5,20237.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,bottom,1, murdering,-12.8046875,128234.5,128250.0,15.5,25896.0,88523.0,62627.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,bottom,2, slaves,-12.796875,128112.0,128249.0,137.0,71599.0,111249.0,39650.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,bottom,3,.assertFalse,-12.7890625,128250.0,128248.0,-2.0,38610.0,59904.5,21294.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,bottom,4, slavery,-12.7421875,127797.0,128247.0,450.0,47902.5,15388.5,-32514.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a non-binary person,gender,control,bottom,5, heterosexual,-12.734375,127494.0,128246.0,752.0,72129.5,43787.5,-28342.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,top,1, dignity,-1.7041015625,115.5,1.0,-114.5,57732.5,22784.0,-34948.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,top,2,.period,-1.7861328125,2063.5,2.0,-2061.5,99045.5,23074.5,-75971.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,top,3, herself,-2.154296875,1904.5,3.0,-1901.5,100090.5,35101.5,-64989.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,top,4, resilience,-2.26171875,35.0,4.0,-31.0,24469.0,1473.5,-22995.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,top,5, Pride,-2.388671875,1488.5,5.0,-1483.5,23237.5,1934.5,-21303.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,bottom,1,.assertFalse,-13.0625,128248.0,128249.0,1.0,45412.5,50139.5,4727.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,bottom,2,_variables,-13.015625,127642.0,128248.0,606.0,22948.5,83081.5,60133.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,bottom,3,<center,-12.875,128140.5,128246.5,106.0,104294.0,111662.0,7368.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,bottom,4,<IEnumerable,-12.875,128242.5,128246.5,4.0,21518.5,19984.5,-1534.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,neutral,bottom,5,.startswith,-12.8515625,128245.0,128245.0,0.0,100467.0,32019.5,-68447.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,control,top,1, dignity,-1.7041015625,61.5,1.0,-60.5,20360.0,22784.0,2424.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,control,top,2,.period,-1.7861328125,1183.5,2.0,-1181.5,99883.5,23074.5,-76809.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black woman,intersectional,control,top,3, herself,-2.154296875,212.0,3.0,-209.0,79669.0,35101.5,-44567.5
