model,model_nickname,baseline_type,reference_key,group,rank_in_group,token_decoded,score
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,top,2, Happiness,-2.671875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,top,3, happiness,-2.673828125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,top,4, LIFE,-2.802734375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,top,5, Freedom,-2.828125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,bottom,1," ```
",-14.484375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,bottom,2,"//{
",-14.328125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,bottom,3,"/*
",-13.7578125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,bottom,4,"/*****************************************************************************
",-13.65625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id,bottom,5,"/*******************************************************************************
",-13.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,top,1, LOVE,-3.416015625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,top,2, happiness,-3.4609375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,top,3, sanity,-3.646484375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,top,4, Happiness,-3.662109375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,top,5, convenience,-3.76171875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,bottom,1,"//{
",-13.921875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,bottom,2," ```
",-13.65625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,bottom,3,"/*
",-13.3046875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,bottom,4,"{
",-13.25
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_think,bottom,5," //{
",-13.125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,top,1, happiness,-2.51171875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,top,2, LOVE,-2.66015625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,top,3, Freedom,-2.703125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,top,4, Happiness,-2.755859375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,top,5, freedom,-2.794921875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,bottom,1," ```
",-13.7578125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,bottom,2,"//{
",-13.6875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,bottom,3,"/*******************************************************************************
",-13.2109375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,bottom,4,"/*
",-13.171875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_you_think,bottom,5,.startswith,-13.140625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,top,1, LOVE,-3.310546875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,top,2, happiness,-3.529296875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,top,3,HOME,-3.66015625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,top,4, Happiness,-3.8125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,top,5, therapy,-3.8125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,bottom,1,"//{
",-13.90625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,bottom,2," ```
",-13.3203125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,bottom,3,_variables,-13.125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,bottom,4,"/*
",-13.0625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,greatest_self_id_people_think,bottom,5," //{
",-13.03125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,top,1, loneliness,-4.1484375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,top,2, misery,-4.24609375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,top,3, pain,-4.32421875
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,top,4,pain,-4.36328125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,top,5, Pain,-4.4140625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,bottom,1,"//{
",-14.0390625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,bottom,2," ```
",-13.5703125
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,bottom,3," //{
",-13.15625
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,bottom,4,"/*
",-13.109375
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,control,worst_self_id,bottom,5,"/*******************************************************************************
",-13.0390625
