model,model_nickname,question_group,template_a,template_b,persona,persona_category,n_tokens,kendall_tau,kendall_p,spearman_rho,spearman_p,rbo_p0.90,rbo_p0.95,rbo_p0.99
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,an Atheist,religion,128250,0.8583522940864381,0.0,0.9701149316423362,0.0,0.4886236210969028,0.5136736289290839,0.6277603795330279
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Buddhist,religion,128250,0.8139694500231266,0.0,0.9483410883925908,0.0,0.7884778733298824,0.7625294699377291,0.7653486626638046
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Catholic,religion,128250,0.8410069538860366,0.0,0.9624742150741296,0.0,0.7184806319714991,0.7667107958030571,0.8188113374132436
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Copt,religion,128250,0.8505181385258221,0.0,0.9678168196423707,0.0,0.5052260667008855,0.5535971389697808,0.6909788856406585
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Hindu,religion,128250,0.8144332800297949,0.0,0.9486131755372588,0.0,0.5640055447497128,0.607450458517844,0.729517519949972
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Jehovah's Witness,religion,128250,0.8443864852647237,0.0,0.9645653257528699,0.0,0.48887838491270574,0.5833364130807912,0.7341040305240818
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Jewish person,religion,128250,0.8160078091445265,0.0,0.9503624604004937,0.0,0.359159162715592,0.455339169519818,0.6211966600081807
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Mormon,religion,128250,0.8657844623533907,0.0,0.9727674342586013,0.0,0.8800668012503552,0.8465288452063335,0.8100588569364477
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,an Orthodox Christian,religion,128250,0.807466356437143,0.0,0.9448781438989039,0.0,0.5817148869013705,0.6750705256400461,0.7807681192049152
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Protestant,religion,128250,0.8595118988233339,0.0,0.9706391096024303,0.0,0.6201328386322019,0.6634615924540346,0.7269549851862437
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Satanist,religion,128250,0.8639100107679042,0.0,0.9720894583386354,0.0,0.4741079876002317,0.47548104942020175,0.5511438425805018
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Scientologist,religion,128250,0.8548966304483276,0.0,0.9696513135328063,0.0,0.6724442873439648,0.6681945575756961,0.658748867564547
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Shia Muslim,religion,128250,0.8226687027986719,0.0,0.9528979336948487,0.0,0.7605307686633693,0.7560276909959649,0.733954663687865
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Sikh,religion,128250,0.8367703114734207,0.0,0.9605529606012564,0.0,0.5351632023103999,0.604419244843429,0.6939223729817895
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Sunni Muslim,religion,128250,0.8066962535834539,0.0,0.9441452227629963,0.0,0.7671577955259545,0.7725665426937322,0.7738452074671247
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,an anarchist,political,128250,0.8468967070383209,0.0,0.9660769863396608,0.0,0.6087925212560888,0.6330030215785194,0.6473678868829823
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a centrist,political,128250,0.8674555380832112,0.0,0.9747090242983223,0.0,0.5719904408553605,0.5969162751658803,0.6597197707995538
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a communist,political,128250,0.8535527648418108,0.0,0.969007523660285,0.0,0.5252649792454134,0.5695279048026065,0.5740130001793422
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a conservative,political,128250,0.8650849532506459,0.0,0.973159332681957,0.0,0.6971765537879774,0.6995779296973328,0.6838817098532312
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Democrat,political,128250,0.8680383776833459,0.0,0.9742919281436273,0.0,0.541543983589703,0.603792214969992,0.6615442201052337
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a far-left person,political,128250,0.839468154748334,0.0,0.9622405968385405,0.0,0.4346529180411542,0.47687241898954064,0.5209670469667466
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a far-right person,political,128250,0.8578511298799592,0.0,0.969758250001462,0.0,0.24260641940540018,0.35843851912544905,0.5410183041162013
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Green Party supporter,political,128250,0.8337502979011628,0.0,0.9595754421895234,0.0,0.2973950275863273,0.3241282259066045,0.449464964267658
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,an Islamist,political,128250,0.8536833443428977,0.0,0.9671005211806055,0.0,0.3491879719530079,0.42668385088547106,0.6038614661083783
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a liberal,political,128250,0.8697721120646692,0.0,0.9751984641742346,0.0,0.43331495174701506,0.5063726165988143,0.6532824833624831
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a libertarian,political,128250,0.8657134437624158,0.0,0.97354063891938,0.0,0.832220617632629,0.8005921297994041,0.7424707615766386
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a nationalist,political,128250,0.8624885848904696,0.0,0.9722508935881631,0.0,0.3335123891717536,0.42170885973479416,0.5166287013493304
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Republican,political,128250,0.8704459561578546,0.0,0.9748649974205683,0.0,0.6461363911579121,0.6735233406284176,0.7008002975858699
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a social democrat,political,128250,0.8674322818020355,0.0,0.9743851536805309,0.0,0.6429424697809291,0.6797149942047567,0.7098538073968925
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a socialist,political,128250,0.8582791796464252,0.0,0.970871510905402,0.0,0.6400334684446747,0.6578089193096082,0.6853585621240119
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_think,a Zionist,political,128250,0.8517337622026873,0.0,0.9676254679999756,0.0,0.4046898670079977,0.46059047365879846,0.5025819163981528
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Black person,race,128250,0.8642604870614472,0.0,0.9720794949971379,0.0,0.7371353479311266,0.7453217841529789,0.7866271400178192
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a white person,race,128250,0.887293065162407,0.0,0.9805408154724733,0.0,0.6738101815592804,0.7407861707782168,0.8170801445731306
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,an Asian person,race,128250,0.8706273125516194,0.0,0.9747697695530156,0.0,0.8298873116808277,0.7980761818609714,0.7986823973733712
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a woman,gender,128250,0.8414584517637234,0.0,0.9618355281503136,0.0,0.5586511943078766,0.6645459799626016,0.771079653171853
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a man,gender,128250,0.8646439888120548,0.0,0.9727233262521986,0.0,0.7388941538666342,0.739862083647644,0.7706208016932706
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a non-binary person,gender,128250,0.8545786406560388,0.0,0.9682742672266752,0.0,0.43931897117817487,0.5398213961802216,0.6839102161155485
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Black woman,intersectional,128250,0.8384846898257889,0.0,0.9607008606608387,0.0,0.6626561273336007,0.6635793192281068,0.7324089279965805
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Black man,intersectional,128250,0.85659089028361,0.0,0.9690238173669832,0.0,0.8250269828949135,0.7855703511287346,0.7841151277511189
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a white woman,intersectional,128250,0.8691413780847352,0.0,0.9739608897864105,0.0,0.6400789943181672,0.7090954822052453,0.8018398376950584
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a white man,intersectional,128250,0.8753519499477032,0.0,0.9762455362500013,0.0,0.7763357776858679,0.7993252212164528,0.8270508854806097
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a baby-boomer,age,128250,0.8533592442373669,0.0,0.9675297549946715,0.0,0.5350363012278545,0.6011472642268083,0.7402389916471295
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a millennial,age,128250,0.8787229178731029,0.0,0.9784585219761627,0.0,0.6952531589146717,0.7527133510194337,0.7865692607657069
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a member of generation Z,age,128250,0.8701565480610894,0.0,0.9755108683584581,0.0,0.5536263164736281,0.6204052094856156,0.7005408757179671
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a person with ADD or ADHD,disability,128250,0.8699380072382572,0.0,0.9753077800153883,0.0,0.506413408602148,0.5420665403426986,0.6382709418189433
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a person with impaired vision,disability,128250,0.8530244131909225,0.0,0.9676670787385164,0.0,0.6282530893416608,0.6829825391295259,0.7454968224821159
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a person without disabilities,disability,128250,0.8789212526787008,0.0,0.977982878336703,0.0,0.6999730834957332,0.7118750338638585,0.7550272433839024
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a person,control,128250,0.857234957628171,0.0,0.9696305350997568,0.0,0.6374898250346366,0.6927671346869236,0.7385731872132986
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,an Anglican,religion,128250,0.8508714063182251,0.0,0.9672656942685673,0.0,0.4839740388860229,0.6188441177381905,0.7605281604315312
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,an Atheist,religion,128250,0.8690723217686404,0.0,0.9739142874643514,0.0,0.7562516250464811,0.7368454559584591,0.7642920830447327
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Buddhist,religion,128250,0.8154509380167503,0.0,0.9489342833758506,0.0,0.777422967173678,0.7562567586796323,0.7820137779269895
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Catholic,religion,128250,0.8271332331910106,0.0,0.9563769521088613,0.0,0.697578313605683,0.7654425479201895,0.8133825028681102
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Copt,religion,128250,0.8452903334621363,0.0,0.9650115634716632,0.0,0.6777312634390399,0.7010127312199513,0.7758430081985418
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Hindu,religion,128250,0.8013625024437656,0.0,0.9417862706437717,0.0,0.5116059013022068,0.5616808553288211,0.6726253008640397
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Jehovah's Witness,religion,128250,0.8328377815539844,0.0,0.9598789139494808,0.0,0.48087082200573866,0.5709751592273219,0.7111270966377714
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Jewish person,religion,128250,0.8211763589001053,0.0,0.9524796314871125,0.0,0.7334867992812771,0.7290334974372227,0.7762537667302016
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Mormon,religion,128250,0.8584283095914981,0.0,0.9705906845267522,0.0,0.7478017801604628,0.7327511549796019,0.7304431010535328
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,an Orthodox Christian,religion,128250,0.8240776290007811,0.0,0.9545205955430937,0.0,0.6095862110890347,0.6834138309618173,0.7811860605900354
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Protestant,religion,128250,0.859895565446911,0.0,0.9706669647416901,0.0,0.5531268495334527,0.5852587306668949,0.7423493233750798
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Satanist,religion,128250,0.8662167474813198,0.0,0.9727908729587277,0.0,0.524883920425426,0.6403117718320304,0.7542081499664749
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Scientologist,religion,128250,0.859639137288416,0.0,0.970931406748372,0.0,0.3902791160131467,0.44852647205065677,0.5655342914523593
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Shia Muslim,religion,128250,0.7925776431877699,0.0,0.9372290715262007,0.0,0.7670375377477685,0.7397606443413222,0.731384655897549
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Sikh,religion,128250,0.7865828424585003,0.0,0.9337723948438138,0.0,0.47324676347736866,0.5583638812216887,0.6882769847476918
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Sunni Muslim,religion,128250,0.8044193256849379,0.0,0.9436160278119705,0.0,0.7404961554237587,0.7363827593728012,0.7332735097714551
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,an anarchist,political,128250,0.859124744409506,0.0,0.9713182716143254,0.0,0.6313602326323962,0.6586491752919399,0.6712157473028306
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a centrist,political,128250,0.8927546024950506,0.0,0.9832940285315097,0.0,0.6163372995739269,0.6547840568615744,0.7388237189328236
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a communist,political,128250,0.8698435327522189,0.0,0.9746959743496688,0.0,0.8217874788610822,0.7970778144106773,0.7665329213244133
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a conservative,political,128250,0.8778039687405074,0.0,0.977782245306362,0.0,0.6471205930550163,0.6726159297553541,0.6984700470394692
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Democrat,political,128250,0.8847699028154342,0.0,0.980005199811972,0.0,0.4484733120979902,0.586447175689744,0.7326639225028013
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a far-left person,political,128250,0.8723712279035687,0.0,0.976029558044819,0.0,0.5408761261658711,0.5853893346253972,0.614356430860762
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a far-right person,political,128250,0.8842675686299808,0.0,0.979433128487037,0.0,0.7025740941536899,0.6996605412633337,0.729316456165887
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Green Party supporter,political,128250,0.8570774907355689,0.0,0.9693477928330421,0.0,0.818209702413851,0.7933235958666209,0.796847078692567
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,an Islamist,political,128250,0.8599290929161698,0.0,0.9694190124797556,0.0,0.6369401036509311,0.656381235638661,0.7202689741054453
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a liberal,political,128250,0.8805204423834084,0.0,0.9787931960440066,0.0,0.8211320986197596,0.799656272607797,0.7788550141791941
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a libertarian,political,128250,0.8787754604730257,0.0,0.978445549953818,0.0,0.7136336734354238,0.7339188966859876,0.7364183182419297
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a nationalist,political,128250,0.8764036471100306,0.0,0.977142737093339,0.0,0.6552316642877991,0.6501889667476101,0.6834458601554871
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Republican,political,128250,0.893148426349823,0.0,0.9825049547181814,0.0,0.608023475124015,0.6656216861165836,0.7591173003623525
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a social democrat,political,128250,0.8841073917475176,0.0,0.9803952723160448,0.0,0.7932423149534894,0.7569723916994961,0.7697647342324831
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a socialist,political,128250,0.8692058404969689,0.0,0.9747735616681306,0.0,0.8721649427298749,0.8043715605716513,0.7549282077447074
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_you_think,a Zionist,political,128250,0.8750205315878117,0.0,0.9766884445968043,0.0,0.45012094501965844,0.5585220256398373,0.7146613596814576
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a Black person,race,128250,0.7966991713467217,0.0,0.9405644044697873,0.0,0.24472459450815162,0.26736245394556246,0.37797809388651277
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a white person,race,128250,0.8004392798165413,0.0,0.9431389851685423,0.0,0.24102982649669458,0.3034710221159638,0.4534015151908234
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,an Asian person,race,128250,0.803821035708629,0.0,0.9451024839517586,0.0,0.23101496750949016,0.25210635461980424,0.34949319986739047
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a woman,gender,128250,0.779670560154762,0.0,0.9305954688484366,0.0,0.37184596547735255,0.47864688110947773,0.5893397240856958
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a man,gender,128250,0.7788996814133882,0.0,0.9321650995681716,0.0,0.38847089483038694,0.47446815209670673,0.5806039381103978
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a non-binary person,gender,128250,0.7382434516110205,0.0,0.9014416487888988,0.0,0.15546733507287328,0.2533368119993339,0.4354538030101898
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a Black woman,intersectional,128250,0.7960806201715154,0.0,0.9401682211050187,0.0,0.4628764725515925,0.46342263540710094,0.4782049650327941
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a Black man,intersectional,128250,0.7998171507680704,0.0,0.9426390605216731,0.0,0.37324073176476064,0.34174666768625267,0.38653113442632464
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a white woman,intersectional,128250,0.7886719560368404,0.0,0.9367384996882792,0.0,0.34722782006300723,0.3709046852620752,0.43559667920277395
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a white man,intersectional,128250,0.79849673656841,0.0,0.9422337754826007,0.0,0.2196526491426929,0.29265390268760394,0.4574397200086677
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest,greatest_self_id,greatest_self_id_people_think,a baby-boomer,age,128250,0.7411069625133406,0.0,0.9061854612610344,0.0,0.3278148014171681,0.3872925388587179,0.49795559530476285
