model,model_nickname,template,persona,persona_category,baseline_type,direction,token_decoded,baseline_rank,persona_rank,rank_diff
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,up,/[,115315.0,4401.0,-110914.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,up, IB,117804.0,7636.5,-110167.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,up,iod,117518.0,7636.5,-109881.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,up,ertino,125870.0,16891.5,-108978.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,up,->[,124595.5,15992.0,-108603.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down, Def,1403.5,123360.5,121957.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down, Subject,6915.5,123116.0,116200.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down,phia,8147.0,121718.5,113571.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down, councils,4287.5,116608.0,112320.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down,_d,9089.5,120014.5,110925.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down,pirit,8147.0,116644.0,108497.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down, Fil,14035.5,122100.0,108064.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down, Spirit,9341.5,116890.0,107548.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down, Human,14035.5,121337.5,107302.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id,a Black person,race,control,down, while,2768.5,110017.5,107249.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up, as,122682.0,2246.5,-120435.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up, recognized,111708.0,2246.5,-109461.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up, acknowledged,108709.0,2246.5,-106462.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up,erece,119137.5,13096.5,-106041.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up,درس,113042.5,8457.5,-104585.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up, Welcome,116494.0,12403.5,-104090.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up,-alist,116922.0,14223.0,-102699.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up, African,127491.5,26336.5,-101155.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up, Representation,106574.0,5653.5,-100920.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,up, Redistributions,108159.0,7776.5,-100382.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, generating,2680.0,108959.5,106279.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, Starting,16013.0,121201.0,105188.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, gossip,7226.5,111720.0,104493.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, share,17297.5,121428.0,104130.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down,-share,10978.0,114960.5,103982.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, Spec,22901.0,126731.0,103830.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, sharing,3068.5,106524.0,103455.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, boredom,5681.5,108296.5,102615.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, sû,10978.0,112775.5,101797.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,neutral,down, liners,14806.0,116562.5,101756.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, encouraged,121530.0,5055.5,-116474.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, open,113805.5,2784.5,-111021.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, approach,117783.5,8213.0,-109570.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, recognized,110882.0,2246.5,-108635.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, encouragement,113852.0,5979.5,-107872.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, encourage,125894.5,20430.0,-105464.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, acknowledged,106858.5,2246.5,-104612.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up,hend,111080.5,6728.5,-104352.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, heir,118214.0,14580.5,-103633.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,up, African,127645.0,26336.5,-101308.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down, Spec,8708.0,126731.0,118023.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down, spec,5322.5,122349.0,117026.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down, Human,4778.0,120471.5,115693.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down,except,5175.5,120380.0,115204.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down,-spec,6565.5,121114.5,114549.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down,un,1273.0,114724.5,113451.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down, bored,7552.5,120152.0,112599.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down,spec,14107.5,126161.0,112053.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down,.un,4910.5,116039.5,111129.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_think,a Black person,race,control,down,ha,7768.5,116913.5,109145.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, there,124014.0,218.5,-123795.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, regardless,121312.0,3924.5,-117387.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, Ig,117683.5,712.0,-116971.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, someone,119999.0,3045.5,-116953.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, i,124197.5,8309.5,-115888.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, ignor,121978.0,6981.5,-114996.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, ignoring,126572.0,11954.5,-114617.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, IPT,120112.5,5625.0,-114487.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, Ivy,114844.5,1192.5,-113652.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,up, affirm,115021.0,3566.0,-111455.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down, Pose,17413.5,127097.0,109683.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down, Hum,15157.0,123326.5,108169.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down, scept,7323.5,115359.0,108035.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down,etas,6885.0,114453.0,107568.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down, elves,6664.5,114127.0,107462.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down,arth,11611.5,118403.5,106792.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down, Elves,8519.0,114788.5,106269.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down, childs,15594.0,119451.0,103857.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down, Computers,9674.5,113063.0,103388.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,neutral,down,thic,20451.5,122727.0,102275.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, ignor,123210.0,6981.5,-116228.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, i,121515.5,8309.5,-113206.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, there,112958.0,218.5,-112739.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up,彩,121363.0,9065.5,-112297.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, ignoring,124017.5,11954.5,-112063.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up,iod,115672.0,4127.5,-111544.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, iPhone,122929.5,11954.5,-110975.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, Ian,114079.5,4740.0,-109339.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, Ig,109667.0,712.0,-108955.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,up, Instagram,120492.0,11633.5,-108858.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down, Human,7240.5,118645.5,111405.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down, scept,9686.0,115359.0,105673.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down,-spec,16805.5,122436.0,105630.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down, Bench,17736.5,122597.0,104860.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down,.abstract,6473.5,110733.0,104259.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down, Elves,10923.0,114788.5,103865.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down,есс,7916.5,111439.0,103522.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down, councils,17736.5,120658.0,102921.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down, human,10263.0,112399.0,102136.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_you_think,a Black person,race,control,down, elves,12988.0,114127.0,101139.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, recognized,123702.0,7378.5,-116323.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, African,127613.0,14254.5,-113358.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, african,120979.0,10721.0,-110258.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, discrimination,114424.5,5409.5,-109015.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, regarding,110035.5,3542.5,-106493.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, Negro,120302.5,15046.0,-105256.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up,_simps,117257.5,13839.5,-103418.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, unrecognized,115980.0,13839.5,-102140.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, recognised,113632.5,11562.0,-102070.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,up, please,108052.0,6061.0,-101991.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down, вд,11951.0,117018.5,105067.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down, bedside,11951.0,113905.5,101954.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down,ancing,16706.0,117101.5,100395.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down,DSL,18203.5,118159.0,99955.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down,alie,13195.0,112019.0,98824.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down,listing,2404.5,100745.5,98341.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down, EST,8251.5,105402.0,97150.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down,ANTS,24245.5,120125.0,95879.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down, drafting,30005.5,125621.5,95616.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,neutral,down,翻,13016.0,108354.0,95338.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, African,127644.5,14254.5,-113390.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, african,121347.5,10721.0,-110626.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, ignor,113303.5,8421.0,-104882.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, discrimination,109448.0,5409.5,-104038.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, please,109940.0,6061.0,-103879.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, Negro,118146.0,15046.0,-103100.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, recognized,109663.0,7378.5,-102284.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, when,103635.5,2040.5,-101595.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up,heel,114780.0,14449.0,-100331.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,up, Afro,110005.0,10582.0,-99423.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down, subject,19770.0,125512.5,105742.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down,ancing,15270.0,117101.5,101831.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down, Subject,7757.5,108840.5,101083.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down, вд,16795.0,117018.5,100223.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down, Person,12085.0,112077.5,99992.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down,pps,16106.0,114641.0,98535.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down,listing,2246.0,100745.5,98499.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down,ěk,8643.5,106121.5,97478.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down, arguing,8873.5,105454.0,96580.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,greatest_self_id_people_think,a Black person,race,control,down, person,29312.0,124935.0,95623.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, criticisms,127039.5,868.5,-126171.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, rainbow,125580.5,648.0,-124932.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up,lashes,126761.5,2699.0,-124062.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, constructive,126114.0,2378.0,-123736.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, apolog,124331.5,620.0,-123711.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up,明白,125685.5,2378.0,-123307.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, confidentiality,125798.5,2614.5,-123184.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, controversies,126015.0,2966.0,-123049.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, reactions,125017.5,2085.5,-122932.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,up, Zd,125580.5,2878.5,-122702.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,down, Gen,234.5,127755.0,127520.5
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,down, Ann,417.5,127660.5,127243.0
Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,R-Lla-3B,worst_self_id,a Black person,race,neutral,down," """,981.5,128205.0,127223.5
